Unnamed: 0,status,founded_at,funding_rounds,funding_total_usd,milestones,relationships,lat,lng,isClosed,active_days,category_code_biotech,category_code_consulting,category_code_ecommerce,category_code_education,category_code_enterprise,category_code_games_video,category_code_hardware,category_code_mobile,category_code_network_hosting,category_code_other,category_code_public_relations,category_code_search,category_code_software,category_code_web,country_code_BRA,country_code_CAN,country_code_DEU,country_code_ESP,country_code_FRA,country_code_GBR,country_code_IND,country_code_IRL,country_code_ISR,country_code_NLD,country_code_USA,country_code_other
84,1,2011,5.0,125371133.0,1.0,2.0,48.2081743,16.3738189,1,3650.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,1,2011,5.0,125371133.0,1.0,2.0,32.5631924,-97.1416768,1,5110.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
87,1,2008,5.0,125371133.0,1.0,5.0,51.896891700000005,-8.486315699999999,1,5110.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,1,1998,5.0,125371133.0,1.0,2.0,52.4739306,6.068175800000001,1,5110.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,1,2006,5.0,125371133.0,1.0,1.0,53.8007554,-1.5490774,1,6570.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,1,2008,5.0,125371133.0,1.0,1.0,37.8043637,-122.27111370000002,1,5475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
101,1,1978,5.0,125371133.0,1.0,4.0,34.0380784,-84.58157170000001,1,3650.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
102,1,2004,5.0,125371133.0,1.0,1.0,51.41233,-0.300689,1,3650.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,1,2010,5.0,125371133.0,1.0,2.0,52.3702157,4.895167900000001,1,6935.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,1,2007,5.0,125371133.0,1.0,2.0,37.7749295,-122.4194155,1,7665.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,1,2011,5.0,125371133.0,1.0,3.0,41.223,-111.9738304,1,6935.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
116,1,1999,5.0,125371133.0,1.0,3.0,31.8087678,-85.969951,1,5110.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
119,1,1978,5.0,125371133.0,1.0,5.0,37.4418834,-122.1430195,1,5840.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
121,1,2008,5.0,125371133.0,1.0,3.0,33.158093300000004,-117.3505939,1,6205.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
127,1,2001,5.0,125371133.0,1.0,4.0,26.7153424,-80.0533746,1,4380.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131,1,2006,5.0,125371133.0,1.0,4.0,29.9988312,-95.2621553,1,4745.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
134,1,2006,5.0,46400000.0,2.0,20.0,42.3600825,-71.0588801,1,2920.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,3,2008,5.0,125371133.0,1.0,2.0,32.715738,-117.1610838,0,8030.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
137,1,2008,5.0,125371133.0,1.0,3.0,37.7749295,-122.4194155,1,3650.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,1,2011,5.0,125371133.0,1.0,4.0,40.8584328,-74.16375529999999,1,6570.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
142,1,2007,5.0,125371133.0,1.0,4.0,22.5957689,88.2636394,1,5110.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,1,2007,5.0,125371133.0,3.0,8.0,37.7749295,-122.4194155,1,4015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
144,1,2007,5.0,125371133.0,1.0,4.0,39.926813,-75.0246312,1,4015.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
148,1,2006,5.0,125371133.0,1.0,4.0,-23.5505199,-46.6333094,1,365.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,1,2010,5.0,125371133.0,1.0,5.0,26.1275862,-80.23310359999999,1,4015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,2,2002,5.0,125371133.0,1.0,3.0,37.7749295,-122.4194155,0,12775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
